,Unnamed: 0,review,rating,date,bank,source,distilbert_sentiment,distilbert_label,distilbert_score,vader_sentiment,textblob_sentiment,distilbert_numerical
0,0,20 years,5,2025-06-08,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.991589367389679}",POSITIVE,0.991589367389679,neutral,neutral,1
1,1,A great app. It's like carrying a bank in your pocket.,4,2025-06-07,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9992928504943848}",POSITIVE,0.9992928504943848,positive,positive,1
2,2,More than garrantty bank EBC.,4,2025-06-07,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9971959590911865}",POSITIVE,0.9971959590911865,neutral,positive,1
3,3,really am happy to this app it is Siple to use everything,5,2025-06-07,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9988697171211243}",POSITIVE,0.9988697171211243,positive,positive,1
4,4,I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9996840953826904}",NEGATIVE,0.9996840953826904,negative,positive,-1
5,5,"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9964652061462402}",NEGATIVE,0.9964652061462402,positive,negative,-1
6,6,what is this app problem???,1,2025-06-05,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9996225833892822}",NEGATIVE,0.9996225833892822,negative,neutral,-1
7,7,the app is proactive and a good connections.,5,2025-06-05,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998679161071777}",POSITIVE,0.9998679161071777,positive,positive,1
8,8,I cannot send to cbebirr app. through this app.,3,2025-06-05,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9953354001045227}",NEGATIVE,0.9953354001045227,neutral,neutral,-1
9,9,good,4,2025-06-05,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998161196708679}",POSITIVE,0.9998161196708679,positive,positive,1
10,10,not functional,1,2025-06-05,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.999778687953949}",NEGATIVE,0.999778687953949,neutral,neutral,-1
11,11,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9905162453651428}",NEGATIVE,0.9905162453651428,positive,positive,-1
